,agency_name,acrs_report_type,crash_date_time,number_of_lanes,at_fault,collision_type,weather,light,driver_substance_abuse,first_harmful_event,latitude,longitude,hit_run,road_grade,surface_condition,traffic_control,junction,intersection_type,road_alignment,road_condition,road_division,route_type,road_name
1,Montgomery,Property Damage Crash,2025-05-27 20:40:00,1,Driver,Angle,Rain,Dark - Not Lighted,Not Suspected,Motor Vehicle In Transport,39.00403317,-77.0409946,No,"Level, Uphill",Wet,Signs,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Undisclosed
3,Montgomery,Injury Crash,2025-05-27 15:20:00,1,Driver,Front To Front,Rain,Daylight,Not Suspected,Motor Vehicle In Transport,39.01902633,-77.01557783,No,Level,Wet,Other,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,County Route,Lanark Way
4,Montgomery,Property Damage Crash,2025-05-27 13:35:00,1,Driver,Single Vehicle,Rain,Daylight,Not Suspected,Curb,39.12199983,-77.115599,No,Level,Wet,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Depressed Median",County Route,Avery Rd
6,Montgomery,Injury Crash,2025-05-27 08:41:00,"2, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.0012327,-77.12319255,No,"Level, Uphill",Dry,Other,Intersection Or Related,Angled/Skewed,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide), Not Divided",County Route,Ewing Dr
7,Montgomery,Property Damage Crash,2025-05-27 07:53:00,4,Unknown,Front To Rear,Cloudy,Daylight,Not Suspected,Motor Vehicle In Transport,39.04497833,-77.111125,No,Uphill,Dry,Traffic Signals,Non-Junction,Non-Intersection,Curve Left,No Defects,"Divided, Raised Median (Curbed)",County Route,Nicholson La
8,Montgomery,Property Damage Crash,2025-05-26 20:54:00,1,Unknown,Angle,Clear,Dark - Lighted,Unknown,Motor Vehicle In Transport,38.99647767,-77.07557522,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",County Route,Manor Rd
9,Montgomery,Property Damage Crash,2025-05-26 20:28:00,6,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,39.01916385,-76.97615208,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Interstate (State),Capital Beltway (Wb/L)
10,Montgomery,Property Damage Crash,2025-05-26 17:30:00,7,Unknown,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.00524378,-77.02287108,No,Level,Dry,Traffic Signals,Intersection Or Related,Perpendicular,Straight,No Defects,Not Divided,Us (State),Undisclosed
11,Montgomery,Injury Crash,2025-05-26 17:00:00,"2, 3",Driver,Angle,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.15551,-77.16704033,No,"Downhill, Level",Dry,Other,Driveway Access Or Related,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed), Not Divided",Maryland (State) Route,Undisclosed
12,Montgomery,Injury Crash,2025-05-26 16:34:00,5,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,39.050199,-77.1146865,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Raised Median (Curbed)",Maryland (State) Route,Rockville Pike (Sb/L)
13,Takoma,Property Damage Crash,2025-05-26 16:01:00,2,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Unknown,Motor Vehicle In Transport,38.98102035,-76.98842362,Unknown,Level,Dry,No/Unknown/Miscellaneous Control,Non-Junction,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Thirteenth Ave
14,Rockville,Property Damage Crash,2025-05-26 15:33:00,2,Unknown,Single Vehicle,Clear,Daylight,Not Suspected,Curb,39.07938797,-77.18363261,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Municipality Route,Wootton Pkwy
15,Montgomery,Property Damage Crash,2025-05-26 12:10:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,Curb,39.13363346,-77.20622462,No,Level,Dry,No/Unknown/Miscellaneous Control,Intersection Or Related,Perpendicular,Straight,No Defects,"Divided, Depressed Median",County Route,Muddy Branch Rd (Sb/L)
17,Montgomery,Injury Crash,2025-05-25 15:50:00,2,Unknown,"Sideswipe, Same Direction",Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.96247986,-77.1355961,No,Uphill,Dry,Signs,Entrance/Exit Ramp Or Related,Non-Intersection,Straight,No Defects,Not Divided,Government Route,Clara Barton Pkwy (Nb/L)
18,Montgomery,Property Damage Crash,2025-05-25 15:50:00,3,Driver,Front To Rear,Clear,Daylight,Not Suspected,Motor Vehicle In Transport,38.9879799,-77.07722579,No,Level,Dry,Traffic Signals,Non-Junction,Non-Intersection,Straight,No Defects,"Divided, Flush Median (Greater Than 4Ft Wide)",Maryland (State) Route,Connecticut Ave (Sb/L)
19,Gaithersburg,Property Damage Crash,2025-05-25 11:20:00,2,Driver,Single Vehicle,Clear,Daylight,Not Suspected,"Other Fixed Object (Wall, Building, Tunnel, Etc.)",39.14288957,-77.20050527,No,Level,Dry,No/Unknown/Miscellaneous Control,Through Roadway,Non-Intersection,Straight,No Defects,Not Divided,Maryland (State) Route,Frederick Rd (Sb/L)
